attendance,internal1,internal2,assignment,final_result
82,9,10,15,0
100,11,11,15,1
96,11,11,10,1
54,13,13,10,1
76,11,9,10,0
94,11,11,15,1
98,12,14,15,1
100,16,15,15,1
94,9,12,15,1
94,14,15,5,1
84,11,10,5,1
86,10,9,15,0
92,14,14,15,1
96,9,8,20,0
86,12,14,15,1
100,7,0,10,0
100,8,8,10,0
100,10,9,20,0
68,16,15,15,1
76,14,13,15,1
100,7,8,10,0
86,16,15,20,1
92,9,10,10,1
92,11,12,15,1
100,10,10,10,0
78,16,15,10,1
100,9,8,10,0
92,11,10,15,1
86,13,13,15,1
82,16,15,15,1
100,10,10,15,0
100,13,15,15,1
80,11,13,5,1
84,8,7,10,0
96,13,13,10,1
86,8,7,5,0
92,8,8,5,0
92,13,11,10,1
100,10,9,10,0
92,12,13,10,1
96,12,12,10,1
92,10,10,5,1
100,18,16,15,1
100,13,13,10,1
96,13,12,10,1
100,11,11,10,1
100,16,15,10,1
100,12,11,10,1
92,10,10,10,1
100,13,13,15,1
100,7,6,5,0
100,11,10,5,1
80,14,12,10,1
92,7,7,10,0
94,14,12,5,1
84,13,11,15,1
72,6,5,5,0
100,19,18,15,1
96,8,8,15,1
92,15,14,15,1
92,8,9,10,1
100,15,15,10,1
66,10,10,10,1
92,15,14,10,1
90,7,6,5,0
96,11,11,10,1
100,6,5,5,0
72,6,5,5,0
96,10,9,15,1
86,6,5,5,0
100,7,5,15,0
100,7,9,10,0
100,6,5,10,0
78,9,9,10,0
94,14,16,5,1
94,10,8,5,0
100,11,12,5,1
90,8,9,5,0
